Name,Unit,Carbohydrate,Protein,Fat,Sugars,Sodium,Cholesterol,Saturated fat,Trans fat
가리비 구이,1인분,0.3,2.6,0.5,0,69,5,0,
가브리살,1인분,0,21.5,5,,,,,
가쓰오우동,1인분,75,11,1.8,8,1940,0,0,0
가자미구이,1인분,0.1,23.1,2.1,0,279,65,0.4,0.1
가지나물,1인분,5.5,1.3,2,,418.8,0,0.2,0
가지냉국,1인분,5.8,1.6,0.7,,696.6,0,0.1,0
가지볶음,1인분,1.2,3.8,3.8,0,362.3,0,0.5,0
가츠동,1인분,45.03,38.82,33.55,5.6,0.581,0.435,8.83,
가평잣죽,1인분,37.3,5,11.6,,338.9,0,0,0
간자장,1인분,132,26,23.3,3.5,622,18,6.5,0.24
간장 치킨,1인분,74.5,13.9,28.6,13.9,933,0,0,
간장게장,1인분,3.6,10.5,3.1,1.6,895,105,0.7,0.1
갈릭 립아이,1인분,1,11,6,1,260,0,6,
갈매기살,1인분,0,29.07,28.04,0,0.091,0.116,10.219,
갈비살(소고기),1인분,0,6,11.7,0,59,26,4.9,
갈비탕,1인분,9,27.1,22.8,0,1136.4,132.8,6.7,0
갈치구이,1인분,0.1,12.9,5.2,0,741.9,58.8,1.1,0
갈치조림,1인분,7.7,14.3,5.4,0,545.1,58.8,1.1,0
감자 샐러드,1인분,27.9,6.7,20.5,,1322,170,3.5,
감자 수프,1인분,13,2.2,5.4,0,303.8,8.5,0,0
감자 주먹 밥,1인분,41.9,8.97,5.61,0,66.99,0,0,0
감자국,1인분,10.9,6.3,1.6,,746.3,10.9,0,0
감자냉채,1인분,9.03,1.73,0.37,0,102.93,0,0,0
감자된장국,1인분,13,5.1,1,,631.4,12.5,0,0
감자밥,1인분,68.6,5.6,0,,5.2,0,0,0
감자볶음,1인분,13.7,1.4,5.4,1.5,196,0,0.7,0
감자수제비국,1인분,66.4,15.8,6.5,2.4,2459,97,1.4,0
감자전,1인분,18.9,4.9,6.3,0,361.2,71.3,1.2,0
감자찌개,1인분,15.9,10,1.1,,628.3,20.4,0,0
감자탕,1인분,12.8,12.2,10.9,0,835.8,27.5,5.1,0
감자튀김,1인분,20.3,1.9,8,0.3,171,0,1.8,0
감자호박국,1인분,8.7,4,0.4,,524.6,24.7,0,0
갓김치,1인분,5.1,2.3,0.5,0,546.6,0,0,0
거봉,1인분,58.8,2.3,0.5,50.3,7,0,0.1,0
건새우미역국,1인분,2.6,6.8,2.4,,852,62,0.2,0
건새우볶음,1인분,6.2,11.6,3.7,0,269.8,124,0.4,0
건새우아욱국,1인분,7,10.64,1.612,,774.3,4.31,,
겉절이김치,1인분,4.8,1.9,1.7,1.7,238,0,0.2,0
게살볶음밥,1인분,64,11,10,3,,,,
게살죽,1인분,40,8,10,0,0,0,0,0
게토레이,1인분,16,0,0,16,115,0,0,0
경단,1인분,9.9,0.9,0.2,0.9,29,0,0.1,0
계란 후라이,1인분,1.4,5.9,6.1,0,76,237.5,1.8,0
계란국,1인분,1.2,4.5,2.6,,735.2,150.9,0.9,0
계란말이,1인분,3,6.1,7.1,0,414.1,237.5,1.9,0
계란말이 김밥,1인분,69.51,10.43,7.43,1.38,0.331,0.122,1.711,
계란죽,1인분,21.2,5.4,2.8,0.2,229,104,0.8,0
계란찜,1인분,2.3,6.2,5.1,0,586.5,240.3,1.7,0
계란파국,1인분,2.4,5.2,4.7,,576.3,155,1.2,0
고구마,1인분,26.1,2,0,5.4,72,0,0,
고구마라떼,1인분,44.41,4.96,4.64,41.65,0.07,0.014,2.659,
고구마맛탕,1인분,36.8,2.4,25.1,10.7,1047,0,1.8,0
고구마밥,1인분,75.3,5.1,0.1,,10,0,0,0
고구마줄기나물,1인분,8.3,1,2.1,1.7,775,0,0.3,0
고구마줄기무침,1인분,8.6,1.2,2.5,,541.7,0,0.1,0
고구마파이,1인분,46,0,14,,,,,
고기만두,1인분,46.2,26.7,18.6,0,574.8,27.5,6.4,0
고기완두조림,1인분,18.9,11.37,6.97,0,45.19,0,0,0
고기완자를 곁들인 스웨덴식 국수,1인분,13.82,9.07,5.88,0,69.53,0,0,0
고기죽,1인분,39.6,9.5,5.4,,661.6,15.3,0.4,0
고들빼기,1인분,3.8,3.3,0.4,0.2,73,0,0,0
고들빼기김치,1인분,7.1,2.4,1.6,,1338.6,0,0,0
고등어구이,1인분,0,14.1,7.2,0,724.4,57.4,2.7,0
고등어김치찜,1인분,8.88,37.87,41.27,,1834,,143.75,
고등어매운탕,1인분,11.3,16.5,7.9,,670,57.4,2.7,0
고등어조림,1인분,8.8,16.1,7.6,0,775,57.4,2.7,0
고등어찌개,1인분,10.8,16.2,7.9,,667.6,57.4,2.7,0
고로케,1인분,46,9.3,28.2,0,536.3,263.5,0,0
고르곤졸라피자,1인분,1.7,16.7,8.4,0,442,0,0,0
고사리나물,1인분,5.4,2.7,4,0,529.2,0,0.4,0
고소한참치마요김밥,1인분,46,8,8,0,630,6,1.2,0
고추잡채,1인분,11.6,21.2,14.3,1.1,254,64,4.9,0.1
고추장불고기 삼각김밥,1인분,31,4,3.8,3,380,5,0.7,0
고추장아찌,1인분,4.3,0.7,0.4,1.4,252,1,0,0
고추장찌개,1인분,54.13,27.61,11.59,10.2,4152,35,2.2,0
고추전,1인분,6.4,1.5,1.5,1.4,103,20,0.3,0
골드키위,1인분,15,0.8,0.5,15,3,0,0,0
골드키위주스,1인분,28,2,0,26,0,0,0,0
골뱅이무침,1인분,9.1,14.4,1,0,512.8,107.6,0,0
곰보빵,1인분,45.2,7,10.5,0,184.8,21.6,0,0
곰탕,1인분,17.7,15.3,4.9,0,1330.8,30.6,0,0
곱창전골,1인분,12.8,11.3,8.8,0,1020.9,43.8,1.6,0
곶감,1인분,24.9,0.4,0.2,0,1,0,0,0
곶감샐러드,1인분,49.29,2.91,4.35,0,10.22,0,0,0
과메기,1인분,0,20.2,9.9,0,794,67,2.2,0
과일 요구르트 샐러드,1인분,18.12,2.64,0.39,0,19.75,0,0,0
과일 젤리,1인분,34.99,1.31,0.18,0,25.3,0,0,0
과일샐러드,1인분,27.5,1.3,7.6,,131.8,9.6,0.7,0
광어초밥,1인분,9.03,1.85,0.14,1.89,0.177,0.003,0.034,0
광어회,1인분,0,5.9,0.65,0,0.015,0.009,0.092,0
구운 아스파라거스,1인분,0.64,0.37,0.35,0.2,0.037,0,0,0
국물떡볶이,1인분,75,6,0.9,13,0.88,0,0,0
국밥,1인분,75.5,15.5,3.8,,896.9,20.4,0,0
군고구마,1인분,38.29,3.65,3.91,10.01,0.448,0,0.763,
군만두,1인분,46.2,26.7,23.6,0,574.8,27.5,7.1,0
굴국밥,1인분,74.3,19.5,5.5,2.5,801,64,1,0
굴밥,1인분,50.7,19.8,12.6,0.8,792,77,2.1,
굴비구이,1인분,0.3,31,10.6,0,288.4,192.7,21.3,0
굴짬뽕,1인분,135.3,16,13,3.2,1687,88,2,0
궁중 떡볶음,1인분,38.44,6.22,3.36,0,232.37,0,0,0
